feature,importance
observation_count,0.20241373322191236
daily_total_std,0.12783505658771585
daily_mean_std,0.09807024493417633
measurement_days,0.0855609524338987
daily_activity_trend,0.07746789278155167
zero_activity_ratio,0.045432652500666144
active_ratio,0.04300297156026078
activity_max,0.03949319952171253
activity_std,0.03887863426271038
day_night_ratio,0.03523163547040471
activity_iqr,0.03212093880791282
activity_cv,0.027308504930636565
daily_total_average,0.027059046791807533
activity_q75,0.02697827550899641
night_activity_mean,0.026048500576447548
day_activity_mean,0.024039279855877747
activity_mean,0.02348871785259898
activity_median,0.01869484395260002
activity_q25,0.0008749184481129619
